Time Increment,Dock #,Truck Driver's Name,Delivery Company,Crate ID,Crate Value,Dock Status
120 Minutes,1,Kratos,Umbrella,81823,462.63$,Truck Still Unloading
150 Minutes,1,Kratos,Umbrella,720612,358.97$,Truck Still Unloading
180 Minutes,1,Kratos,Umbrella,677936,451.5$,Dock is Empty
300 Minutes,1,Meaghan Heimbach,Synaptian,363146,106.25$,Truck Still Unloading
330 Minutes,1,Meaghan Heimbach,Synaptian,347187,202.05$,Dock is Empty
420 Minutes,1,Ken Loveday,Cisco,715154,263.18$,Truck Still Unloading
450 Minutes,1,Ken Loveday,Cisco,103450,455.1$,Truck Still Unloading
450 Minutes,2,Garfield Arbuckle,Siemens,863923,296.56$,Dock is Empty
480 Minutes,1,Ken Loveday,Cisco,930025,80.42$,Dock is Empty
480 Minutes,2,Cloud Strife,Eridian,844269,72.39$,Truck Still Unloading
510 Minutes,1,Ken Loveday,Landgraab Industries,627328,373.5$,Truck Still Unloading
510 Minutes,2,Cloud Strife,Eridian,255617,396.06$,Truck Still Unloading
540 Minutes,1,Ken Loveday,Landgraab Industries,844848,317.31$,Truck Still Unloading
540 Minutes,2,Cloud Strife,Eridian,818181,206.07$,Truck Still Unloading
570 Minutes,1,Ken Loveday,Landgraab Industries,243811,398.39$,Truck Still Unloading
570 Minutes,2,Cloud Strife,Eridian,413970,302.54$,Truck Still Unloading
600 Minutes,1,Ken Loveday,Landgraab Industries,954705,222.59$,Truck Still Unloading
600 Minutes,2,Cloud Strife,Eridian,580847,207.16$,Dock Still Occupied
630 Minutes,1,Ken Loveday,Landgraab Industries,546674,411.87$,Truck Still Unloading
630 Minutes,2,Lara Croft,Siemens,20605,81.76$,Truck Still Unloading
660 Minutes,1,Ken Loveday,Landgraab Industries,38602,458.4$,Truck Still Unloading
660 Minutes,2,Lara Croft,Siemens,519560,55.35$,Truck Still Unloading
690 Minutes,1,Ken Loveday,Landgraab Industries,345383,228.3$,Truck Still Unloading
690 Minutes,2,Lara Croft,Siemens,488750,218.51$,Truck Still Unloading
720 Minutes,1,Ken Loveday,Landgraab Industries,781200,189.89$,Dock Still Occupied
720 Minutes,2,Lara Croft,Siemens,840318,318.5$,Truck Still Unloading
750 Minutes,1,Ryan Oler,LabConnect,530378,344.86$,Truck Still Unloading
