Time Increment,Dock #,Truck Driver's Name,Delivery Company,Crate ID,Crate Value,Dock Status
30 Minutes,1,Susan Kellogg,Eridian,10879,181.61$,Truck Still Unloading
60 Minutes,1,Susan Kellogg,Eridian,184220,403.21$,Truck Still Unloading
90 Minutes,1,Susan Kellogg,Eridian,258547,374.05$,Truck Still Unloading
120 Minutes,1,Susan Kellogg,Eridian,613499,239.64$,Truck Still Unloading
150 Minutes,1,Susan Kellogg,Eridian,609862,285.88$,Dock is Empty
150 Minutes,2,Jake Gillenwater,Maliwan,32814,282.08$,Truck Still Unloading
180 Minutes,2,Jake Gillenwater,Maliwan,58738,193.8$,Truck Still Unloading
210 Minutes,2,Jake Gillenwater,Maliwan,268991,302.4$,Dock is Empty
240 Minutes,1,Cloud Strife,AVEVA,112099,332.02$,Truck Still Unloading
270 Minutes,1,Cloud Strife,AVEVA,814284,375.93$,Truck Still Unloading
300 Minutes,1,Cloud Strife,AVEVA,250170,205.78$,Dock is Empty
390 Minutes,1,Solid Snake,Eastman,247883,485.82$,Truck Still Unloading
420 Minutes,1,Solid Snake,Eastman,641315,234.85$,Truck Still Unloading
450 Minutes,1,Solid Snake,Eastman,285137,116.07$,Truck Still Unloading
450 Minutes,2,Bucky,Conseillers en gestion et informatique,841632,306.75$,Truck Still Unloading
480 Minutes,1,Solid Snake,Eastman,392041,185.93$,Dock is Empty
480 Minutes,2,Bucky,Conseillers en gestion et informatique,370286,198.48$,Dock is Empty
480 Minutes,3,Miss Lyn,Cerberus,901863,154.43$,Truck Still Unloading
510 Minutes,3,Miss Lyn,Cerberus,481114,361.74$,Truck Still Unloading
510 Minutes,4,Shemmy,Tediore,400452,208$,Truck Still Unloading
540 Minutes,3,Miss Lyn,Cerberus,674477,303.36$,Truck Still Unloading
540 Minutes,4,Shemmy,Tediore,285697,371.31$,Truck Still Unloading
570 Minutes,3,Miss Lyn,Cerberus,995989,297.08$,Dock is Empty
570 Minutes,4,Shemmy,Tediore,561827,497.22$,Truck Still Unloading
600 Minutes,4,Shemmy,Tediore,109633,136.02$,Truck Still Unloading
630 Minutes,4,Shemmy,Tediore,313015,190.92$,Truck Still Unloading
660 Minutes,4,Shemmy,Tediore,663875,422.16$,Dock is Empty
660 Minutes,5,Grug,Dahl,453161,192.36$,Truck Still Unloading
690 Minutes,5,Grug,Dahl,698791,195.89$,Truck Still Unloading
690 Minutes,6,Mario,East Tennessee State University,340801,391.17$,Truck Still Unloading
720 Minutes,5,Grug,Dahl,156032,411.63$,Truck Still Unloading
720 Minutes,6,Mario,East Tennessee State University,558879,87.93$,Truck Still Unloading
720 Minutes,7,Luigi,Oracle,332416,146.03$,Truck Still Unloading
750 Minutes,1,Link,Cisco,360714,157.45$,Truck Still Unloading
750 Minutes,5,Grug,Dahl,974411,412.41$,Truck Still Unloading
750 Minutes,6,Mario,East Tennessee State University,436140,497.72$,Truck Still Unloading
750 Minutes,7,Luigi,Oracle,710840,131.55$,Dock is Empty
780 Minutes,1,Link,Cisco,382185,92.52$,Dock is Empty
780 Minutes,5,Grug,Dahl,501275,403.34$,Dock is Empty
780 Minutes,6,Mario,East Tennessee State University,900088,140.07$,Truck Still Unloading
780 Minutes,7,Katie Wilson,Vladof,892320,137.82$,Truck Still Unloading
810 Minutes,1,Ada Wong,SS Munitions,543017,217.12$,Truck Still Unloading
810 Minutes,6,Mario,East Tennessee State University,149185,290.5$,Dock is Empty
810 Minutes,7,Katie Wilson,Vladof,331500,468.73$,Dock is Empty
840 Minutes,1,Ada Wong,SS Munitions,148940,151.59$,Truck Still Unloading
840 Minutes,2,Micheal,Oracle,76258,441.32$,Truck Still Unloading
870 Minutes,1,Ada Wong,SS Munitions,129224,483.48$,Truck Still Unloading
870 Minutes,2,Micheal,Oracle,278914,247$,Truck Still Unloading
870 Minutes,3,Christopher Keller,The AAM Group,770586,152.05$,Truck Still Unloading
900 Minutes,1,Ada Wong,SS Munitions,121813,137.59$,Truck Still Unloading
900 Minutes,2,Micheal,Oracle,172392,135.51$,Truck Still Unloading
900 Minutes,3,Christopher Keller,The AAM Group,128417,474.89$,Dock is Empty
900 Minutes,4,Ada Wong,Vladof,377328,313.58$,Truck Still Unloading
930 Minutes,1,Ada Wong,SS Munitions,235709,141.41$,Truck Still Unloading
930 Minutes,2,Micheal,Oracle,908536,184.36$,Truck Still Unloading
930 Minutes,4,Ada Wong,Vladof,667120,339.64$,Truck Still Unloading
930 Minutes,5,Donald Gotterbarn,Torgue,857089,257.9$,Truck Still Unloading
960 Minutes,1,Ada Wong,SS Munitions,981066,145.16$,Dock is Empty
